"","logFC","AveExpr","t","P.Value","adj.P.Val","B","threshold"
"SLC51A",-1.24034770392576,4.87802514956979,-1.54387416100497,0.157431812446522,0.999950192382521,-4.52221009749456,"Downregulated"
"GHR",-1.5209561611544,8.10458201094935,-1.52617823456003,0.161724291629876,0.999950192382521,-4.52492302332074,"Downregulated"
"CIDEB",-1.18651823842646,8.49574463595867,-1.51899480625967,0.163496178440516,0.999950192382521,-4.5260223854815,"Downregulated"
"GYS2",-1.72058341477654,4.37722455051647,-1.50167998642692,0.167837860086962,0.999950192382521,-4.52866744580336,"Downregulated"
"C9",-1.42603320280355,8.38300957610443,-1.48625527208965,0.171790897724387,0.999950192382521,-4.53101770467111,"Downregulated"
"CDO1",-1.06195673747889,7.41695755285525,-1.48420653410024,0.17232205953925,0.999950192382521,-4.53132942046686,"Downregulated"
"RDH16",-1.14764564225232,4.80599536399956,-1.48031067626402,0.173336091347117,0.999950192382521,-4.53192187688242,"Downregulated"
"SERPING1",-1.14823137453638,8.18077812832144,-1.47701553940332,0.174197848634251,0.999950192382521,-4.53242267019791,"Downregulated"
"IGFBP2",-1.26325849920898,6.37745409645051,-1.47212054306103,0.175484942579123,0.999950192382521,-4.53316607802809,"Downregulated"
"AOX1",-1.85357067574967,8.36422182909678,-1.47150400983671,0.175647643653553,0.999950192382521,-4.533259666001,"Downregulated"
"LOC100286922",-1.15127314188814,4.39832731710698,-1.46545899801872,0.177249911066084,0.999950192382521,-4.53417673434911,"Downregulated"
"ACSM5",-1.50511842199588,6.99126090284207,-1.46324281833515,0.177840518110733,0.999950192382521,-4.53451269210224,"Downregulated"
"C8A",-1.47291994100342,7.93954243555542,-1.45811427363159,0.179213863920981,0.999950192382521,-4.53528961908457,"Downregulated"
"VNN1",-1.4380550254834,6.89270934817952,-1.45032595059839,0.181317163435397,0.999950192382521,-4.53646804935163,"Downregulated"
"ACSL1",-1.03508188438266,8.26573147219506,-1.44798740786961,0.181952892619503,0.999950192382521,-4.53682154574232,"Downregulated"
"SAA4",-1.5361656572857,8.28129171650351,-1.44348036851486,0.183183602305806,0.999950192382521,-4.53750238084125,"Downregulated"
"CD5L",-1.29378479950817,6.30119969708001,-1.40854392888483,0.192971122641849,0.999950192382521,-4.54275868296842,"Downregulated"
"ALDH6A1",-1.13625781950087,7.21089517270536,-1.40495519727701,0.194001664652583,0.999950192382521,-4.54329639129628,"Downregulated"
"PPARGC1A",-1.04716832918173,4.87992844724122,-1.39385968477671,0.19721790857341,0.999950192382521,-4.5449560956962,"Downregulated"
"PDK4",-1.18241447466348,7.77552765916073,-1.38936846423632,0.198532752981282,0.999950192382521,-4.54562669754948,"Downregulated"
"DHTKD1",-1.06727396425382,5.17769345096503,-1.38690262185671,0.19925784635218,0.999950192382521,-4.54599458031941,"Downregulated"
"CYP8B1",-1.72706337195376,8.19657060621822,-1.3866966209459,0.199318524704585,0.999950192382521,-4.54602530415466,"Downregulated"
"HAO2",-1.37214429764317,6.51938090349806,-1.37973168919389,0.201379419495077,0.999950192382521,-4.54706318975717,"Downregulated"
"SLC22A25",-1.00451928281159,6.68371524726496,-1.37856495362687,0.201726431386168,0.999950192382521,-4.54723688083948,"Downregulated"
"SLC27A2",-1.23683296275239,6.94399463692283,-1.37302214349775,0.20338198178007,0.999950192382521,-4.54806135558554,"Downregulated"
"MSRA",-1.06265599298839,6.19824054774913,-1.37235025702266,0.203583451328084,0.999950192382521,-4.54816121966841,"Downregulated"
"ASS1",-1.01905480464073,10.0124922358406,-1.36764286908257,0.204999782384407,0.999950192382521,-4.54886041925903,"Downregulated"
"SLC13A5",-1.42489186867195,10.4681266794097,-1.35689785097625,0.208264219777091,0.999950192382521,-4.55045326966991,"Downregulated"
"GOT2",-1.00839173488394,7.95953785158728,-1.34955954155192,0.210519023025746,0.999950192382521,-4.55153854992418,"Downregulated"
"CFHR5",-1.5965436089939,6.27404976152144,-1.34662246570778,0.211427280207354,0.999950192382521,-4.55197232850149,"Downregulated"
"CYP4F2",-1.31806319715835,7.37428327987825,-1.3447906990078,0.211995416365601,0.999950192382521,-4.552242689872,"Downregulated"
"LINC01093",-1.18633565312279,4.33150619221215,-1.34019622487175,0.213426129455326,0.999950192382521,-4.55292022472164,"Downregulated"
"MAT1A",-1.18553172185004,8.5053985518906,-1.32980959848148,0.216690690214721,0.999950192382521,-4.55444875183668,"Downregulated"
"CYP39A1",-1.15716510303203,5.37192792279624,-1.32181244527375,0.219232905015027,0.999950192382521,-4.55562259023523,"Downregulated"
"PCK1",-1.95842394901523,9.78573891396383,-1.31306395869812,0.22204272396479,0.999950192382521,-4.55690360395289,"Downregulated"
"MFAP3L",-1.08034434935963,5.19610281395216,-1.30702642406664,0.223999468080172,0.999950192382521,-4.55778573166743,"Downregulated"
"C6",-1.36362966016054,8.96088412505031,-1.30338864882243,0.225185436661064,0.999950192382521,-4.55831646458465,"Downregulated"
"VIPR1",-1.27958018067636,5.91294896803654,-1.29866155473618,0.226734405298625,0.999950192382521,-4.55900524544059,"Downregulated"
"TAT",-1.61807821623977,8.67491782748669,-1.29052272860024,0.229422236346733,0.999950192382521,-4.5601887900959,"Downregulated"
"PON3",-1.3333229896293,8.09972798325401,-1.26691871550423,0.237368271953908,0.999950192382521,-4.56360391521644,"Downregulated"
"APOA5",-1.12424450846679,7.28408349260016,-1.22262080851445,0.252896378238017,0.999950192382521,-4.56993922511135,"Downregulated"
"PBLD",-1.12514343948183,6.53702944778204,-1.21852182404441,0.25437444429755,0.999950192382521,-4.57052030772405,"Downregulated"
